pass_a,pass_b,rate_with_bigram,rate_without_bigram,n_with_bigram,chi2,p_value,p_adj,significant,positive
bdce,mem2reg,0.032814778804083615,0.021925187718907776,4114,22.64817290099689,1.945451303320838e-06,2.075854851172862e-05,True,True
bdce,sroa,0.03667068757539204,0.021913238803052477,4145,41.90665409836124,9.57362882758051e-11,2.1924169876494312e-09,True,True
bdce,deadargelim,0.03076923076923077,0.021930630615459072,4225,15.321600484960708,9.067376413892891e-05,0.0006828818336304808,True,True
bdce,instcombine,0.03146013448607109,0.021928918995300997,4164,17.560510635175063,2.7830815707991726e-05,0.0002338744083959133,True,True
bdce,simplifycfg,0.036231884057971016,0.02191317616943007,4278,40.71383673320432,1.762348569728343e-10,3.855506703383347e-09,True,True
bdce,sccp,0.027810791537913004,0.021939859962702604,4207,6.7313584688582,0.00947324256854083,0.03890636381584257,True,True
bdce,jump-threading,0.02904162633107454,0.021936458801599584,4132,9.683870544352143,0.0018589262121222496,0.009843887825112549,True,True
bdce,gvn,0.027566539923954372,0.02194060821011907,4208,6.1827330500890865,0.012900286599689724,0.04947847436276685,True,True
bdce,gvn-sink,0.027843883864826273,0.02193977964304751,4202,6.799576085626388,0.009117951890662113,0.03770422344649718,True,True
bdce,newgvn,0.034986820033549006,0.02191808102573339,4173,33.08588341528052,8.817659126345304e-09,1.4180678907091666e-07,True,True
bdce,separate-const-offset-from-gep,0.029764762361977917,0.021934076232592876,4166,11.859001002946,0.0005738331823111944,0.0035084008461056006,True,True
bdce,loop-reduce,0.028524280999528525,0.021937493410185218,4242,8.543248147135175,0.0034680621237421294,0.016997410859291837,True,True
bdce,attributor,0.03080964891330308,0.02193075262172545,4187,15.32298782382403,9.060720053472145e-05,0.0006828818336304808,True,True
bdce,mldst-motion,0.028050490883590462,0.02193880390244474,4278,7.417483321069546,0.006459310014429358,0.028581534481926966,True,True
bdce,early-cse-memssa,0.03520634180461646,0.02191628157636723,4289,35.164143070841924,3.03052450233126e-09,5.3337231241030174e-08,True,True
bdce,iroutliner,0.02976899261728983,0.02193387402281615,4199,11.966185658236773,0.0005417472587219055,0.0033461865380993404,True,True
ipsccp,mem2reg,0.03665413533834586,0.021912090969664576,4256,42.935609766616565,5.6571495256595266e-11,1.3305343869358983e-09,True,True
ipsccp,sroa,0.038766931340495095,0.02190518589679755,4282,56.51243755340951,5.584402878448152e-14,2.3019496496845224e-12,True,True
ipsccp,globaldce,0.027607361963190184,0.021940357957690584,4238,6.317922632332843,0.011952357340708123,0.04650316080100647,True,True
ipsccp,instcombine,0.03245192307692308,0.021925926142861537,4160,21.396903266580996,3.733737579617925e-06,3.778117922941549e-05,True,True
ipsccp,simplifycfg,0.03577390889577868,0.021915473281822355,4193,37.382978449171,9.70655894428198e-10,1.849678093713296e-08,True,True
ipsccp,sccp,0.02770480057320277,0.0219402708597678,4187,6.458821080408302,0.011040286895912065,0.04382540647176041,True,True
ipsccp,jump-threading,0.030534351145038167,0.0219323901385508,4061,13.950524010482322,0.0001876853321361327,0.0013043048103728405,True,True
