pass_a,pass_b,rate_with_bigram,rate_without_bigram,n_with_bigram,chi2,p_value,p_adj,significant,positive
bdce,mem2reg,0.06707855251544571,0.03862990594262593,2266,49.13124781534082,2.3939604450049866e-12,6.744423814848581e-11,True,True
bdce,sroa,0.06075388026607539,0.038649140866260194,2255,29.518774150710925,5.5377676194082734e-08,8.229942314080758e-07,True,True
bdce,instcombine,0.050284215128989944,0.03867980805270632,2287,8.25039435487838,0.004074314858580405,0.019807594023837197,True,True
bdce,simplifycfg,0.0637213254035684,0.03863703257875432,2354,39.67659650685149,2.9969541990763994e-10,6.065153820973219e-09,True,True
bdce,memcpyopt,0.04971652856519843,0.038681434125817274,2293,7.480236977742779,0.006237986109130464,0.028094253712886597,True,True
bdce,dse,0.04861407249466951,0.03868408895928199,2345,6.193972764112388,0.012818610529783626,0.04938286161793673,True,True
bdce,jump-threading,0.05725524475524475,0.03865874275940436,2288,21.197302699498373,4.143472286067507e-06,4.3794433123455756e-05,True,True
bdce,gvn,0.06324786324786325,0.038638958364955026,2340,37.96056661720054,7.218903501207635e-10,1.3756314409113918e-08,True,True
bdce,gvn-sink,0.048564189189189186,0.038683943418067204,2368,6.192034922454066,0.012832654309376667,0.04941265907130681,True,True
bdce,newgvn,0.05548274355613805,0.03866407287259174,2289,17.345651354379562,3.116104821344694e-05,0.0002776488391441598,True,True
bdce,attributor,0.0487908358082308,0.0386833817733535,2357,6.450088023067493,0.011094684538972202,0.044333453729199127,True,True
bdce,slp-vectorizer,0.04868591124515295,0.03868418343509214,2321,6.21968439035613,0.012633763182133849,0.04891133625431157,True,True
bdce,dfa-jump-threading,0.048801742919389976,0.03868417579516959,2295,6.293509988238199,0.012118084057674873,0.04743070181894533,True,True
bdce,early-cse-memssa,0.05786540934419203,0.038655759428346675,2333,23.061624960786176,1.5689101495907525e-06,1.8096766261553423e-05,True,True
bdce,loop-flatten,0.04895700297999148,0.03868297331471426,2349,6.641890970203012,0.009960815120070556,0.04071665136763705,True,True
bdce,speculative-execution,0.05121638924455826,0.038676067640552654,2343,9.870068602675582,0.0016798924457735519,0.009317930336613638,True,True
bdce,partially-inline-libcalls,0.05017921146953405,0.0386809596140218,2232,7.905912077340585,0.0049273491371851635,0.023136090193305873,True,True
ipsccp,mem2reg,0.07196652719665272,0.0386098296605751,2390,71.2307614722388,3.177945351143113e-17,2.3373454264522003e-15,True,True
ipsccp,sroa,0.07603092783505154,0.03860007100744786,2328,87.37388472060906,8.98287790471816e-21,1.212998271547459e-18,True,True
ipsccp,instcombine,0.06046511627906977,0.038646832886765306,2365,30.157145056714743,3.9841663229419306e-08,6.106456094184188e-07,True,True
