pass_a,pass_b,ate,t_stat,p_value,n_treatment,n_control,p_adj,significant
bdce,ipsccp,-0.004726339136901125,-1.7291992128875306,0.08378617419589632,12186,12066,0.33651920576664984,False
bdce,correlated-propagation,-0.005075800694211152,-1.8594089254803543,0.06298136553343588,11963,12164,0.2802670766237897,False
bdce,mem2reg,-0.000829453066673036,-0.38993763208395504,0.6965860886649866,12195,12102,0.8960383306668861,False
bdce,sroa,-0.013022772881973177,-6.558232960357903,5.554933313120434e-11,12016,12300,1.1449009923252431e-08,True
bdce,instsimplify,0.0005542590046295759,0.20429385828724786,0.8381255898683714,12023,12144,0.9434032221685951,False
bdce,constmerge,-0.004265165871746801,-1.5719238954795378,0.11598123178197796,12122,12182,0.3995491412932546,False
bdce,function-attrs,0.0028435451627286112,1.0410516695674752,0.29786188122541635,12174,12235,0.6431363547497837,False
bdce,deadargelim,-0.004503786434428614,-1.6437017011957429,0.10025077521420171,12093,12208,0.3702688503527117,False
bdce,globaldce,-0.0017579320484593097,-0.6419670377049788,0.520900679048182,12079,12075,0.8117178906297974,False
bdce,elim-avail-extern,-0.0031405714448126676,-1.140726249821056,0.2539952402144293,12054,11952,0.6051819360647778,False
bdce,mergefunc,-0.0009269488755062061,-0.33912629406065165,0.7345175382247019,12110,12055,0.9125541634824235,False
bdce,instcombine,0.008016855180608073,3.4029745380091367,0.0006676422427910056,12105,12154,0.008714956742565259,True
bdce,simplifycfg,0.005203184412449602,1.8767850202026977,0.06055955516295363,12144,12123,0.2740681528468289,False
bdce,tailcallelim,-0.0024433472712261928,-0.9008859538860184,0.3676578372380904,12363,12092,0.7001836374914673,False
bdce,reassociate,-0.002263795675536029,-0.8300928831501058,0.40649441237863054,12067,12284,0.7332252965797869,False
bdce,memcpyopt,-0.0048996944082731475,-1.8063686476147607,0.07087319678591747,12212,11986,0.3029906535083546,False
bdce,sccp,-0.0008857701425677433,-0.32372473052589157,0.7461492503523979,12181,11970,0.9136846338586976,False
bdce,dce,0.0032726500723928575,1.1972476687976197,0.23122177052471443,12179,12021,0.5774645748563658,False
bdce,adce,-0.005536645908295779,-2.028291878561682,0.04254139395233938,12039,12203,0.2209444280071101,False
bdce,dse,0.009160379317099954,3.5570700014913483,0.00037573107703332885,12192,12010,0.005469750548931285,True
bdce,jump-threading,0.0015457843762656243,0.5658719315161339,0.5714860611040463,12036,12322,0.843897174639429,False
bdce,loop-idiom,-0.005267321350888976,-1.915973153608344,0.05538024446485316,12201,12079,0.262476613263219,False
bdce,loop-deletion,-0.0004358787314988066,-0.16048709840558173,0.872498709900766,12157,12294,0.9559890732992165,False
bdce,gvn,-0.010202779057150058,-4.179503916755387,2.9316294454466708e-05,12117,12286,0.0006342685584734344,True
bdce,gvn-hoist,-0.004720769723902729,-1.7330675134631588,0.08309631516913873,12141,12248,0.33512375921971915,False
