source,target,ate_global,cate_crypto,cate_general,cate_loop_bench,cate_multimedia,cate_numeric,cate_pointer_data,cate_string_parse,cate_systems,cate_cluster_0,cate_cluster_1,cate_cluster_2,cate_cluster_3,cate_cluster_4,cate_cluster_5
constmerge,instcombine,0.0115407584195404,0.0132506402048336,0.0153232335190576,0.0100644919479441,0.0083839459215159,0.0161017432028606,0.0109359600594493,0.0098346601339264,0.0094861623226104,0.0152548913917024,0.0105337447287514,0.0076834872883078,0.0132959949544733,0.0093775520292815,0.0034805307095058
constmerge,simplifycfg,0.0079526394492556,0.0041836742169151,0.0083307553594293,0.0069777662783499,0.0098111577232213,0.0071702083383505,0.0090722701543662,0.0108254894812011,0.0074190819457319,0.0086585482432252,0.0102005175088273,0.0035877020707021,0.0100553941395708,0.0065402360593153,0.0025138996020393
constmerge,dse,0.0081709681538326,0.0073220093983265,0.0129394131997562,0.0040699513982262,0.0045996793921439,0.0115014986450022,0.009270580951389,0.0080817040070249,0.0077936213393608,0.0114599248101579,0.0059751649364618,0.0042622435553206,0.0127485016289582,0.0065676920977008,0.0021814883526872
constmerge,jump-threading,0.0057474015941457,0.0080438975054552,0.0064088356262448,0.001235017637426,0.0047903114972936,0.004729096759454,0.0052093070158833,0.0071545325058973,0.0065692075188531,0.0072966597742297,0.0070745068160207,0.0058470977350846,0.0045304602372217,0.0048271229987569,-0.0034168376608788
loop-unroll,constmerge,0.0080971010001872,0.0188378296306687,0.0153183503134111,0.0020369562613478,0.0141901104724683,0.0091813860600974,0.0029542175457581,0.0034538207047568,0.0032581692854004,0.0108752434307482,0.0028485117040588,0.011697802194843,0.0096414197606757,0.0099412125655817,-0.0016432401139837
loop-vectorize,constmerge,0.0155316239268789,0.0080294656032871,0.0343036947662482,0.0450614237133463,0.0088123925400016,0.0412807788201594,0.0016521299037954,0.002997745799203,0.0012687856608629,0.0313917315274536,0.0133902898106673,0.0030440971947651,0.0101935065577402,0.002165283687891,0.0092933180936907
break-crit-edges,constmerge,0.0080478573107242,0.0074096784109243,0.0089874626602989,0.0055563406420846,0.0059475346867023,0.0062627928467194,0.0050187572324922,0.0113512755130599,0.0091821726940265,0.0076244812198945,0.011908635080889,0.0059624890600991,0.0046310178955025,0.0065333604369237,0.0017500779303502
function-attrs,instcombine,0.0113675360692496,0.0127965069337628,0.0160590215896456,0.0167977254691266,0.0107765533202762,0.0159450369117127,0.0092318704950549,0.005548420858277,0.0089905749000535,0.01534369364794,0.0107801923037909,0.0146266814882488,0.0093218587715111,0.008355817575214,0.0052671729024992
function-attrs,simplifycfg,0.0086185530180693,0.008846331136412,0.0109016773711279,0.0064281745250927,0.0082523705829051,0.0084027580295237,0.0080607975782392,0.0084973550909093,0.0089473059044127,0.0112775879687473,0.0095754736411573,0.0019199537226451,0.0070194277637162,0.0074765160299135,-0.0007529210553041
function-attrs,dse,0.0091131954236838,0.0107338469893918,0.0109241568736598,0.0073981208763976,0.0070623911876722,0.0119718516496395,0.0109195565255486,0.0069916953973263,0.0078434250420068,0.01214441909543,0.0073236281023496,0.002511445120324,0.0114985682255906,0.0080369382672168,0.0019428782640599
function-attrs,jump-threading,0.0059859960548972,0.0059740185822864,0.005256570956065,0.0031409167938555,0.0052026088412016,0.0068949130794514,0.0022182856712605,0.0083472616852948,0.0064239520815363,0.006642698294378,0.0079543794673433,0.0063888154545798,0.0023325057572181,0.0056277566888531,-0.0047800637058162
loop-unroll,function-attrs,0.0071064080957904,0.014262424090182,0.0155759152196038,-0.0003181381246382,0.0160168406559804,0.0069066086341412,0.0022758382468136,0.0038498623861042,0.0021504957482381,0.0103133135607988,0.0019957904503483,0.0094465434057222,0.0048278145563276,0.0085966413415655,0.0023871634325168
loop-vectorize,function-attrs,0.0158920784850378,0.0094832999941242,0.0352887721000496,0.0489606475789136,0.011351724218695,0.035080032460409,0.0024481325069525,0.0037090883314677,0.0026833209578139,0.0313937483763028,0.0128956286235794,0.0073191132958375,0.0096560997041825,0.0028817290947704,0.0127833094183839
break-crit-edges,function-attrs,0.0073956547319648,0.0047642166107172,0.0079009584754454,0.0004148538161835,0.0080016822431183,0.0042913723484857,0.0093165295573231,0.0111402114026096,0.0085263479484881,0.0072537175468113,0.0090883246641871,0.0009463283295115,0.0042541375088002,0.0078189150116319,0.0032207845005411
deadargelim,instcombine,0.0113646190744253,0.0113023365018273,0.0142549961396785,0.0116188299950684,0.0111525969196031,0.0173750821407407,0.0100449193362469,0.0094025838307358,0.0084681626315181,0.0153466027873061,0.0106899282747453,0.0098705042981281,0.0115558006232419,0.0097332822576584,0.0026567304852365
deadargelim,simplifycfg,0.007711735558314,0.0091181786489455,0.0087525225102054,0.0087021098145724,0.0070158330878505,0.0076207493713082,0.0075355379440774,0.008495247963689,0.0062284233257236,0.0099033815311189,0.009654763455845,0.0055122707880364,0.0056554375440009,0.00526386447871,-0.0004613673967131
deadargelim,dse,0.0079498378652558,0.0105820731512176,0.0092076975414551,0.0058032558233872,0.0046628377238314,0.0097090935796694,0.0094734396687051,0.0082180176844926,0.0064714744087335,0.0111129607286308,0.0070541929789196,0.0093237728284877,0.011900587222929,0.0049053209874241,0.0005398545831462
deadargelim,jump-threading,0.0054564898924588,0.0058616566392011,0.0070708400419838,0.0022965377831566,0.0046166661145888,0.0052721981253809,0.0058178541159518,0.0057467607404746,0.0058415766019707,0.0061041961734362,0.0060323118175696,0.0019175229148848,0.0036757390205642,0.005320719842603,0.0032207184940676
loop-unroll,deadargelim,0.0074688585144476,0.0137621453557964,0.0164452421754882,-0.00080210225541,0.0135105230825255,0.0093308462814885,0.0038674410888918,0.0052117365681381,0.0022026355481222,0.0104077222367538,0.0011741436641248,0.0142044845984987,0.0049309368458101,0.0097531587549663,0.0016941185533679
loop-vectorize,deadargelim,0.0169428352276473,0.0120043153852545,0.0385922035024097,0.0484632459884624,0.0127650295512994,0.0412057908190914,0.0040414824613491,-0.000804063174666,0.0021435821460962,0.0338538156302921,0.01333538236636,0.0079642305151139,0.0094189939890182,0.003835896936677,0.008567493353535
break-crit-edges,deadargelim,0.0066582654319823,0.0061528769622694,0.0092820342251535,0.004682376632798,0.0084367868014159,0.0039506421035013,0.0038329901143859,0.0088522363068942,0.0066510629982269,0.0074009431769344,0.0103977231307905,0.0032106319510378,0.000626352112838,0.0051279326496891,-0.0012443251091105
globaldce,instcombine,0.0121224223597459,0.0157117902472831,0.0148604030751311,0.0111819233552273,0.0126780741867301,0.0162112918562277,0.0102588352254801,0.0095388710629881,0.0087129818035989,0.0148801623509142,0.0102922798968858,0.0143181367869246,0.0083420573609705,0.0110144900688228,0.0070176440559401
globaldce,simplifycfg,0.0086769772851423,0.0091621004354792,0.0121014033377446,0.0084852881436028,0.010016119957999,0.0059932651925599,0.0103965196794714,0.0105375147364942,0.0069784478728158,0.0106681771950815,0.0098417842455951,-0.0005799147743417,0.0060263250082499,0.0082099008532312,0.000271248122994
globaldce,dse,0.0089085094957458,0.0119758513883682,0.011589675731055,0.005342267564441,0.0076837284734908,0.0105073302585,0.0115723036555498,0.0066154767792462,0.0078876792901141,0.0112970258745195,0.007146703053217,0.0064193078817448,0.0100719267993631,0.0084189254034131,0.0067879304764681
globaldce,jump-threading,0.0062248343489532,0.0073486400101516,0.0081129178194769,0.0049368573632753,0.002596162955963,0.0048644328905886,0.0085117139642951,0.0095986547522193,0.0054280178864092,0.0062165385008864,0.0080784001899139,0.0022075812047243,0.0080126022349568,0.0055659940347452,0.0002065909531464
loop-unroll,globaldce,0.0081168146282798,0.0170183286291399,0.0177085107278853,0.0032286218560916,0.0166784098423335,0.0060680186928437,0.0043475075746581,0.0050988125315801,0.0024632048376994,0.0105459803242694,0.003502585768504,0.0171727981651044,0.006580798368879,0.0100885976234491,-0.0005605090093221
loop-vectorize,globaldce,0.0155071266532979,0.0073517907121737,0.0342936719896611,0.0523963287863972,0.0080875531857999,0.0383337589379432,-0.0014330142206052,0.001388832011773,0.0029196556641628,0.0308573147719472,0.013804562627822,0.006536642229439,0.0088769182560196,0.0023174930787192,0.0100440701737239
break-crit-edges,globaldce,0.0061699139728221,0.0058350524268061,0.0068725459501234,0.0051220184226291,0.0043193116756252,0.005544472787582,0.003031482068579,0.0090042835124226,0.0063690772225059,0.0064644629611008,0.0090678233077988,0.0083612578621075,-0.0002835538294402,0.0060565357325461,-0.0017105253865425
elim-avail-extern,instcombine,0.0119070876428726,0.0133958914975559,0.0149544856723793,0.0130282955048633,0.0103952946051859,0.0162419585568852,0.0086564364887591,0.0088688186670424,0.0107044661071933,0.0149614698289012,0.0108702265225277,0.0145990006500324,0.0146659537180168,0.0100650440589397,0.003747308013554
