source,target,ate_global,cate_crypto,cate_general,cate_loop_bench,cate_multimedia,cate_numeric,cate_pointer_data,cate_string_parse,cate_systems,cate_cluster_0,cate_cluster_1,cate_cluster_2,cate_cluster_3,cate_cluster_4,cate_cluster_5
loop-vectorize,sroa,0.0312446675045225,0.0131295247507768,0.0652397348494809,0.1059272098361142,0.022436429013502,0.0813911631726042,0.0148846108046498,-0.0009294466191406,0.0002148508990639,0.062333977444474,0.0307015465459513,0.0020103508449462,0.0010551509494823,0.0044049999131244,0.0183460666838852
sroa,iroutliner,0.0092675069369923,0.0053427308598376,0.0115720620365873,0.0277131451154067,0.0104043117143731,0.0085651197392298,0.0115329538158351,0.0075327824045498,0.0033199915101228,0.0070373875957189,0.012582427598025,0.0607168972084646,-0.0042327020689226,0.0030369479150928,0.0111703888458499
gvn,instcombine,0.0399530414871903,0.0449749199094644,0.0363517107746597,0.0169707350079353,0.0439997190208665,0.0493650726441234,0.0376874467019589,0.0441074448140045,0.0372302961409483,0.049118689362062,0.0367818843908205,0.0271798468723162,0.0325523712065383,0.0386300527886024,0.009920768429842
newgvn,instcombine,0.0231311762585283,0.0241058530497854,0.0188007981721817,0.0050690476557571,0.0192635565652984,0.0357426888808465,0.0249269899286665,0.0199970436601026,0.0244401117144394,0.0303406717231884,0.0174116532938918,0.0245867380712827,0.024120793948637,0.0207677448865877,0.0162369255741431
attributor,instcombine,0.0075895559197426,0.0136300144814707,0.0099784797141802,0.0041692308274763,0.0009658643414585,0.0085252003239824,0.0047482295018223,0.0160441046745688,0.0044389773074879,0.0077839523561988,0.0098403121334201,-0.0039594920252957,0.0071605967929149,0.0078890091535511,0.0080718225160743
licm,instcombine,0.0069434379455492,0.0027669657775569,0.0252941087238422,0.0144850332315177,0.0011685371713281,0.0119924748457123,0.0090715980294099,0.0026035514870262,0.0018023712404818,0.0147801728331761,0.0041130815457173,0.0032356457669661,0.0106957715679316,0.0036820787881435,-0.0150589324299814
loop-vectorize,instcombine,0.0096445843867769,0.0215822261567067,0.0206178541061856,0.0350715017085265,0.0048512982579532,0.0234037392745359,-0.0055296327222251,-0.0010606505024021,-0.0009650350638896,0.023570565433542,0.0061231057868848,0.0029161933992759,0.00076856554378,0.0012272640382172,0.0021694409609331
early-cse-memssa,instcombine,0.0176667485701636,0.0144922725164985,0.0236191752678844,0.0085420807098305,0.015565279708934,0.0269495065338443,0.0149734499296306,0.0148140672092635,0.0163192461442718,0.0210528760981846,0.0115284425228888,0.0191989348843323,0.0276844763025528,0.0169192451484694,0.0140466320886586
break-crit-edges,simplifycfg,0.0206929903720959,0.0045475285896777,0.0166189893401736,-0.0014766075102242,0.0228463449334183,0.015747290171902,0.0189371873160149,0.031997001188151,0.0294150507557641,0.0193635575341795,0.0354746010694805,0.0065001649939235,0.0107733817855005,0.0156655991142966,0.0067073807771363
gvn,dse,0.0361079937697648,0.0320000928379768,0.0356584229593565,0.0143769378932463,0.0340833802593751,0.0468924770533827,0.0407362888169796,0.0278336574032115,0.040494098781436,0.0438458725563895,0.028894233482125,0.0177925479953812,0.0547922563237488,0.0300995851942376,0.0261414738129889
