pass_a,pass_b,rate_with_bigram,rate_without_bigram,n_with_bigram,chi2,p_value,p_adj,significant,positive
bdce,mem2reg,0.05471478463329453,0.036465572830837574,859,8.10504950331207,0.004414211612675004,0.04370683356570244,True,True
bdce,sroa,0.08305274971941638,0.03637301689668515,891,54.999522933541236,1.2055908502050841e-13,3.14739584626874e-11,True,True
bdce,newgvn,0.054466230936819175,0.03646253238307158,918,8.42846771147778,0.003693914959640115,0.03862582371682428,True,True
bdce,inferattrs,0.05555555555555555,0.03646141223931183,882,9.109770583145957,0.002542477581504772,0.028942855259222928,True,True
bdce,iroutliner,0.05605381165919283,0.036459135743639536,892,9.702060160601514,0.0018406154490642368,0.022845800629272748,True,True
bdce,global-merge,0.058333333333333334,0.03645592655081871,840,11.391339997174864,0.0007378728463929433,0.011177988651739908,True,True
ipsccp,mem2reg,0.05938242280285035,0.036452605523056916,842,12.543363623064433,0.00039761591377832116,0.006771151810292339,True,True
ipsccp,sroa,0.07953216374269007,0.036389820307798124,855,45.08728516344589,1.8844496299272986e-11,2.459834916931767e-09,True,True
ipsccp,sink,0.05536332179930796,0.036463035409770285,867,8.774405582262549,0.003054866948894668,0.03313811349548897,True,True
ipsccp,early-cse-memssa,0.05980861244019139,0.036451822053782196,836,12.922384853858928,0.0003246759373324984,0.005727166534207495,True,True
correlated-propagation,mem2reg,0.06370875995449374,0.036435941530524506,879,18.52217930160372,1.679386214579404e-05,0.0004926199562766252,True,True
correlated-propagation,sroa,0.09017341040462427,0.036355298888705784,865,70.98032203934983,3.6080564927439035e-17,2.0184498893693035e-14,True,True
correlated-propagation,constmerge,0.06074766355140187,0.03644726896250309,856,14.321198623914663,0.00015411952272312456,0.0030714099286705127,True,True
correlated-propagation,instcombine,0.06496519721577726,0.03643372250901887,862,19.880409329245317,8.244082676059569e-06,0.00026680849387974607,True,True
correlated-propagation,early-cse-memssa,0.06143344709897611,0.036443106907423334,879,15.551646585500364,8.02816960029339e-05,0.0017870707758360805,True,True
mem2reg,ipsccp,0.05944055944055944,0.03645111252019589,858,12.84754579827601,0.00033792215218645473,0.005907603339116771,True,True
mem2reg,correlated-propagation,0.06293706293706294,0.03644036526343317,858,17.066585043254396,3.609178361200949e-05,0.0009237609452590142,True,True
mem2reg,sroa,0.07080610021786492,0.036408784546422004,918,30.76622884710527,2.9105940083365046e-08,1.7949426986843703e-06,True,True
mem2reg,constmerge,0.05484247374562427,0.03646531156185741,857,8.20002382762436,0.004188983959310905,0.0418675142495338,True,True
mem2reg,globaldce,0.0673076923076923,0.036429807247991344,832,22.476811774290688,2.1269574222064537e-06,8.0088127551543e-05,True,True
mem2reg,elim-avail-extern,0.057074910820451845,0.0364596393440274,841,10.12689718890826,0.001461211778983029,0.019041947841921935,True,True
mem2reg,simplifycfg,0.07701564380264742,0.036401020174232,831,38.84040371833919,4.5990928422702193e-10,4.4469253260074515e-08,True,True
mem2reg,memcpyopt,0.06455399061032864,0.036435999670424546,852,19.085051811593697,1.2502027807966557e-05,0.00038398385016468264,True,True
mem2reg,sccp,0.06637168141592921,0.03642487325104355,904,22.96538752069809,1.6494459768677759e-06,6.491688889863528e-05,True,True
mem2reg,adce,0.06405693950177936,0.036438407198842226,843,18.219142938294805,1.9688993693349093e-05,0.0005705645220346273,True,True
