pass_a,pass_b,ate,t_stat,p_value,n_treatment,n_control,p_adj,significant
bdce,ipsccp,0.0223628549970456,2.0260990517497666,0.04294251945861527,698,716,0.9507017351362462,False
bdce,correlated-propagation,0.009740602555319278,0.8920078330410589,0.37255084874276745,682,644,0.9911004721758581,False
bdce,mem2reg,-0.008802423674329207,-0.9136986675015026,0.3610402207265125,662,675,0.990787840275887,False
bdce,sroa,-0.004668015147031412,-0.5296585675105858,0.5964309631651704,697,735,0.9931423884849718,False
bdce,instsimplify,-0.007350527320992839,-0.6618010642081982,0.5082139621600946,679,661,0.9915852504694289,False
bdce,constmerge,-0.00779240524840169,-0.7142712950250252,0.47518436918740886,648,689,0.9915852504694289,False
bdce,function-attrs,-0.0071559871774083406,-0.6584469662645867,0.5103624682514777,692,675,0.9915852504694289,False
bdce,deadargelim,-0.02376596708592671,-2.1538893658296403,0.031433385536803284,637,659,0.9507017351362462,False
bdce,globaldce,0.0010745187514541454,0.0955908362389959,0.9238596248197791,707,656,0.9990057753615252,False
bdce,elim-avail-extern,-0.011700005978213801,-1.0743991946885303,0.28283908838885674,705,647,0.9763222845575942,False
bdce,mergefunc,0.010463526220923336,0.9763887758994181,0.3290515584280137,637,701,0.9819838925879611,False
bdce,instcombine,-0.0021353199347317053,-0.2304594577001898,0.8177687128799985,742,664,0.9960791555706112,False
bdce,simplifycfg,0.01386617410643226,1.236021182234615,0.21667551331987875,660,651,0.9518238278477062,False
bdce,tailcallelim,-0.01126425692802846,-1.1083515917806832,0.2679076087878244,689,662,0.9598592827201466,False
bdce,reassociate,-0.0014048580508081998,-0.12700614513035294,0.898954896921307,671,653,0.9976938270464651,False
bdce,memcpyopt,0.004493471466610388,0.4106865142749661,0.681367090440419,694,669,0.9931423884849718,False
bdce,sccp,-0.005407247913415014,-0.482340866965557,0.6296418755398915,675,680,0.9931423884849718,False
bdce,dce,-0.012470148037824702,-1.0736243905495737,0.2831864167700488,663,678,0.9763222845575942,False
bdce,adce,0.030711162325132046,2.8360719138723,0.004635830539855829,649,712,0.5977386422506353,False
bdce,dse,0.012121128261887715,1.1967859558378116,0.23158754136036241,711,729,0.9518238278477062,False
bdce,jump-threading,0.009899835545100655,0.9630553106637255,0.33568293514788805,693,758,0.9819838925879611,False
bdce,loop-idiom,0.00036237055601789914,0.034733818911815456,0.9722971056157931,686,673,0.9991910776854859,False
bdce,loop-deletion,-0.00880849446637233,-0.8006769812665219,0.42346729990667237,633,699,0.9911004721758581,False
bdce,gvn,0.0031363236823514495,0.33420227095069066,0.7382780085155265,715,659,0.9931423884849718,False
bdce,gvn-hoist,0.00841511618059998,0.7245428311418749,0.46886027681455617,656,673,0.9915852504694289,False
bdce,gvn-sink,-0.006589722103992557,-0.6112151484711581,0.5411599902076636,693,665,0.9931423884849718,False
bdce,newgvn,0.004132538212017589,0.4391931785617958,0.6605931933103959,667,665,0.9931423884849718,False
bdce,early-cse,0.03238539497613313,3.2733937875995056,0.0010899972859046974,671,670,0.37781325768604146,False
bdce,mergereturn,0.0011286576587954955,0.10498983647986396,0.916399368623292,682,680,0.9990057753615252,False
bdce,globalopt,-0.004446325335173196,-0.4123429468308616,0.680156177984146,675,637,0.9931423884849718,False
bdce,strip-dead-prototypes,-0.015273650670912742,-1.3683353365232274,0.17144371288552168,638,669,0.951362511933016,False
bdce,indvars,-0.0112157398519388,-1.0297871467507473,0.30329484773946525,663,686,0.9819838925879611,False
bdce,mergeicmps,0.0046163292677601775,0.40035107214550764,0.6889636711568362,670,637,0.9931423884849718,False
bdce,separate-const-offset-from-gep,0.010768913893883458,0.9751231841225447,0.3296725616673912,692,672,0.9819838925879611,False
bdce,libcalls-shrinkwrap,-0.00418618292122519,-0.3952474447817553,0.6927211861770761,703,697,0.9931423884849718,False
bdce,flattencfg,0.015155345439623213,1.4084452639110923,0.15922642134295673,681,691,0.951362511933016,False
bdce,loop-reduce,-0.01471689422245026,-1.364396307994968,0.17267352239798991,665,674,0.951362511933016,False
