source,target,ate,p_adj
mem2reg,gvn,0.01771576884805809,1.7060408464565787e-06
loop-unroll,mem2reg,0.012848559473351229,0.017657378655044784
mem2reg,licm,0.013681421386728843,0.0004272974283761658
loop-vectorize,mem2reg,0.06653950015557436,6.902296853221401e-53
sroa,gvn,0.013537353565580945,0.0002080779261714785
loop-reduce,sroa,0.01027577865207735,0.024038696368667758
loop-unroll,sroa,0.013230757508347901,0.012768470911859677
sroa,licm,0.019215699049480284,1.9526580227834302e-08
loop-vectorize,sroa,0.062333977444474054,2.4336953300969963e-37
attributor,instsimplify,0.01274811421217037,0.03482629663606987
gvn,instcombine,0.04911868936206204,2.401595809407401e-56
newgvn,instcombine,0.03034067172318844,1.2430901360596725e-20
licm,instcombine,0.01478017283317612,0.011356143794128117
loop-vectorize,instcombine,0.02357056543354208,6.582105478800143e-07
early-cse-memssa,instcombine,0.02105287609818468,6.246697154147519e-10
simplifycfg,loop-versioning,0.016626381016612124,0.0026750553770023685
break-crit-edges,simplifycfg,0.01936355753417951,4.8029234101388066e-05
loop-sink,sccp,0.014075833424373796,0.02871833295082557
gvn,dse,0.0438458725563895,1.764221548197956e-45
newgvn,dse,0.02939306782151313,5.283180071322476e-19
licm,dse,0.029939456999245495,3.547485398097584e-10
early-cse-memssa,dse,0.030401145610726488,8.747820581210459e-20
break-crit-edges,jump-threading,0.017609532443723985,0.0005652996562484197
loop-reduce,gvn,0.019436557405444366,2.521241015799302e-06
loop-unroll,gvn,0.03777612798853597,5.899948807290832e-23
gvn,attributor,0.05039672587671101,1.1432971600658555e-51
licm,gvn,0.03583940047900763,5.551101134852231e-21
loop-vectorize,gvn,0.050593143101461235,4.472785775400007e-27
early-cse-memssa,gvn,0.014505708151093755,0.002144536949818422
newgvn,attributor,0.014381611342749012,0.00038413737491099705
licm,newgvn,0.021892735769334315,1.325560878916643e-06
loop-vectorize,newgvn,0.017823098804526538,0.0004049460505916241
indvars,loop-unroll-and-jam,0.013318706492401577,0.039508986177007585
loop-rotate,early-cse-memssa,0.01142771624476907,0.04906082946628263
loop-versioning,loop-rotate,0.023410702514219228,6.901528395179023e-06
break-crit-edges,loop-rotate,0.018533168601921668,0.00036048618807170917
early-cse-memssa,attributor,0.016075849336518233,0.0001689511119356737
loop-vectorize,licm,0.08538411066283133,5.244634705041836e-47
licm,early-cse-memssa,0.017976580253165342,0.00018478928335617062
loop-vectorize,early-cse-memssa,0.013286366880648326,0.03482629663606987
loop-versioning,loop-vectorize,0.027496041869173538,0.0001808670275546089
mldst-motion,scalarizer,0.015745880685869518,0.017657378655044784
